id,region,first_nation,water_system_name,advisory_type,status,date_advisory_set,long_term_advisory_since,end_date,epho_recommendation_to_lift,project_phase,population_bucket,corrective_measure,longitude,latitude,is_long_term
1673,ONTARIO,Washagamis Bay,Washagamis Bay West Public Water System,Boil water advisory,Lifted,2008-12-19,2009-12-19,2021-09-18,2020-08-12,Complete,0 to 100 people,Interim upgrades and new treatment plant in longer-term,-94.58714,49.71451,True
1672,ONTARIO,Washagamis Bay,Washagamis Bay East Public Water System,Boil water advisory,Lifted,2008-12-19,2009-12-19,2021-09-18,2021-01-04,Complete,0 to 100 people,Interim upgrades and new treatment plant in longer-term,-94.58714,49.71451,True
1272,ONTARIO,Deer Lake,Deer Lake Public Water System,Boil water advisory,Active,2019-10-15,2020-10-15,NaT,NaT,Complete,501 to 1000 people,Improved operations and monitoring; feasibility study to determine long-term solution,-94.00667,52.06167,True
1724,ONTARIO,Deer Lake,Nursing Station Semi-Public Water System,Boil water advisory,Lifted,2001-11-01,2002-11-01,2018-04-23,NaT,Complete,Unknown,Repairs to treatment system,-94.07528,52.6375,True
1203,ONTARIO,North Spirit Lake,North Spirit Lake Public Water System,Boil water advisory,Active,2019-04-05,2020-04-05,NaT,NaT,Complete,101 to 500 people,"Maintenance and repairs, operational improvements",-93.01459,52.50942,True
1666,ONTARIO,North Spirit Lake,North Spirit Lake Public Water System,Boil water advisory,Lifted,2001-08-01,2002-08-01,2019-02-27,NaT,Complete,101 to 500 people,Repairs and upgrades to plant and distribution system,-93.01459,52.50942,True
1664,ONTARIO,Neskantaga First Nation,Neskantaga Public Water System,Boil water advisory,Active,1995-02-01,1996-02-01,NaT,NaT,Construction,101 to 500 people,Upgrade and expansion of existing treatment plant,-88.01144,52.20458,True
1746,ONTARIO,Webequie,Webequie Public Water System,Boil water advisory,Lifted,2016-04-08,2017-04-08,2018-04-24,NaT,Complete,501 to 1000 people,Repairs to distribution system and reservoir,-87.3603,52.98405,True
1665,ONTARIO,Nibinamik First Nation,Nibinamik Public Water System,Boil water advisory,Active,2013-02-05,2014-02-05,NaT,NaT,Construction,101 to 500 people,Upgrade and expansion of existing treatment plant,-88.51613,52.74551,True
1804,ONTARIO,Ojibway Nation of Saugeen,Saugeen Health Clinic Semi-Public Water System,Boil water advisory,Lifted,2018-04-26,2019-04-26,2022-02-16,NaT,Complete,Unknown,Repairs to well and installation of point-of-entry treatment sytsems,-90.7650735,50.4291717,True
1805,ONTARIO,Ojibway Nation of Saugeen,Saugeen School Semi-Public Water System,Boil water advisory,Lifted,2018-04-27,2019-04-27,2022-01-24,NaT,Complete,Unknown,Repairs to well and installation of point-of-entry treatment systems,-90.7650735,50.4291717,True
1507,ONTARIO,Slate Falls Nation,Slate Falls Public Water System,Boil water advisory,Active,2023-06-08,2024-06-08,NaT,NaT,Complete,101 to 500 people,Repairs and operational improvements,-91.618,51.149,True
1733,ONTARIO,Slate Falls Nation,Band office/Clinic Semi-Public Water System,Boil water advisory,Lifted,2004-07-07,2005-07-07,2018-02-05,NaT,Complete,Unknown,New water treatment plant,-91.61824,51.14938,True
1734,ONTARIO,Slate Falls Nation,Pumphouse No. 1 Public Water System,Boil water advisory,Lifted,2004-07-07,2005-07-07,2018-02-05,NaT,Complete,0 to 100 people,New water treatment plant,-91.61824,51.14938,True
1735,ONTARIO,Slate Falls Nation,Pumphouse No. 2 Public Water System,Boil water advisory,Lifted,2004-07-07,2005-07-07,2018-02-05,NaT,Complete,0 to 100 people,New water treatment plant,-91.61824,51.14938,True
1736,ONTARIO,Slate Falls Nation,Pumphouse No. 3 Public Water System,Boil water advisory,Lifted,2004-07-07,2005-07-07,2018-02-05,NaT,Complete,0 to 100 people,New water treatment plant,-91.61824,51.14938,True
1737,ONTARIO,Slate Falls Nation,Pumphouse No. 4 Public Water System,Boil water advisory,Lifted,2004-07-07,2005-07-07,2018-02-05,NaT,Complete,0 to 100 people,New water treatment plant,-91.61824,51.14938,True
1738,ONTARIO,Slate Falls Nation,Pumphouse No. 5 Public Water System,Boil water advisory,Lifted,2004-07-07,2005-07-07,2018-02-05,NaT,Complete,0 to 100 people,New water treatment plant,-91.61824,51.14938,True
1739,ONTARIO,Slate Falls Nation,Pumphouse No. 6 Public Water System,Boil water advisory,Lifted,2004-07-07,2005-07-07,2018-02-05,NaT,Complete,0 to 100 people,New water treatment plant,-91.61824,51.14938,True
1740,ONTARIO,Slate Falls Nation,Pumphouse No. 7 Public Water System,Boil water advisory,Lifted,2004-07-07,2005-07-07,2018-02-05,NaT,Complete,0 to 100 people,New water treatment plant,-91.61824,51.14938,True
1741,ONTARIO,Slate Falls Nation,Pumphouse No. 8 Public Water System,Boil water advisory,Lifted,2004-07-07,2005-07-07,2018-02-05,NaT,Complete,0 to 100 people,New water treatment plant,-91.61824,51.14938,True
1742,ONTARIO,Slate Falls Nation,Pumphouse No. 9 Public Water System,Boil water advisory,Lifted,2004-07-07,2005-07-07,2018-02-05,NaT,Complete,0 to 100 people,New water treatment plant,-91.61824,51.14938,True
1743,ONTARIO,Slate Falls Nation,Warehouse Semi-Public Water System,Boil water advisory,Lifted,2004-07-07,2005-07-07,2018-02-05,NaT,Complete,0 to 100 people,New water treatment plant,-91.61824,51.14938,True
1747,MANITOBA,Hollow Water,Hollow Water Public Water System,Boil water advisory,Lifted,2016-12-20,2017-12-20,2018-05-02,NaT,Complete,501 to 1000 people,Expansion and upgrade of plant,-96.30229,51.19238,True
1542,MANITOBA,Berens River,Berens River Public Water System,Boil water advisory,Active,2024-05-08,2025-05-08,NaT,NaT,Construction,1001 or more people,Upgrades to water treatment system,-96.9675,52.3431,True
1748,MANITOBA,Kinonjeoshtegon First Nation,Kinonjeoshtegon Public Water System,Boil water advisory,Lifted,2016-07-07,2017-07-07,2017-12-21,NaT,Complete,0 to 100 people,Upgrades to treatment system,-97.31095,51.91709,True
1749,MANITOBA,Kinonjeoshtegon First Nation,Kinonjeoshtegon Band Office/Health Centre Semi-Public Water System,Boil water advisory,Lifted,2017-04-13,2018-04-13,2018-06-22,NaT,Complete,Unknown,Connection to nearby pumphouse,-97.31095,51.91709,True
1750,MANITOBA,Lake Manitoba,Lake Manitoba Band Office Semi-Public Water System,Boil water advisory,Lifted,2014-06-23,2015-06-23,2016-03-23,NaT,Complete,Unknown,Repairs to well,-98.607,50.94718,True
1751,MANITOBA,Lake Manitoba,Lake Manitoba Public Water System,Boil water advisory,Lifted,2016-04-06,2017-04-06,2017-05-08,NaT,Complete,101 to 500 people,Improved disinfection process,-98.607,50.94718,True
1211,MANITOBA,Lake Manitoba,Lake Manitoba Jordan's principle Building Semi Public Well,Boil water advisory,Lifted,2019-06-13,2020-06-13,2020-12-23,NaT,Complete,0 to 100 people,A new well in place,-98.580553,50.907992,True
1688,MANITOBA,Pinaymootang First Nation,Pinaymootang Arena Semi-Public Water System,Boil water advisory,Lifted,2015-08-17,2016-08-17,2019-04-17,NaT,Complete,Unknown,Connection to main community water system,-98.69222,51.59861,True
1238,MANITOBA,Little Saskatchewan,Little Saskatchewan Band Office Semi-Public Water System,Boil water advisory,Lifted,2019-09-26,2020-09-26,2021-03-23,NaT,Complete,Unknown,Relocate affected building and connect to centralized system,-98.631985,51.729594,True
1518,MANITOBA,Waywayseecappo First Nation Treaty Four - 1874,Waywayseecappo Valley Public Water System (Commercial Area),Do not consume advisory,Active,2023-09-28,2024-09-28,NaT,NaT,Construction,1001 or more people,Upgrades and repairs to system and new water treatment plant in longer-term,-100.876585,50.713571,True
1686,MANITOBA,Canupawakpa Dakota First Nation,Canupawakpa Community Complex Semi-Public Water System,Boil water advisory,Lifted,2014-03-26,2015-03-26,2018-09-28,NaT,Complete,Unknown,Upgrades and repairs to system,-100.93278,49.62389,True
1509,MANITOBA,Tootinaowaziibeeng Treaty Reserve,Tootinaowaziibeeng Public Water System,Do not consume advisory,Active,2023-07-04,2024-07-04,NaT,NaT,Construction,501 to 1000 people,Upgrades and repairs to system and new water treatment plant in longer-term,-100.972736006,51.227851947,True
1687,MANITOBA,God's Lake First Nation,God's Lake Austin Nazzie Pump House Public Water System,Do not consume advisory,Lifted,2005-04-24,2006-04-24,2019-07-29,NaT,Complete,0 to 100 people,Upgrades to treatment system,-94.5875,54.53222,True
1689,MANITOBA,Tataskweyak Cree Nation,Tataskweyak Cree Public Water System,Boil water advisory,Active,2017-05-17,2018-05-17,NaT,NaT,Complete,1001 or more people,"New water source, new water treatment plant",-96.09506,56.24514,True
1821,MANITOBA,Shamattawa First Nation,Shamattawa Public Water System,Boil water advisory,Active,2018-12-06,2019-12-06,NaT,NaT,Construction,1001 or more people,Upgrades to system and a longer-term plant upgrade and expansion,-92.0984,55.8617,True
1391,MANITOBA,Mathias Colomb,Mathias Colomb Townsite Public Water System,Boil water advisory,Active,2020-09-17,2021-09-17,NaT,NaT,Construction,1001 or more people,Upgrade and expand water treatment plant,-101.31684,55.7421184,True
1215,MANITOBA,Sapotaweyak Cree Nation,Sapotaweyak Water Treatment Plant,Boil water advisory,Lifted,2019-07-10,2020-07-10,2021-05-20,2021-05-20,Complete,501 to 1000 people,"Interim repairs to plant and, in longer-term, new water treatment plant",-100.4599,52.7457,True
1690,MANITOBA,Wuskwi Sipihk First Nation,Wuskwi Sipihk Public Water System,Boil water advisory,Lifted,2014-04-24,2015-04-24,2020-07-30,NaT,Complete,0 to 100 people,New water treatment plant,-100.87052,52.50907,True
1752,MANITOBA,Pauingassi First Nation,Pauingassi Public Water System,Boil water advisory,Lifted,2014-09-24,2015-09-24,2018-03-16,NaT,Complete,501 to 1000 people,Upgrade and expansion of treatment plant,-95.37413,52.15761,True
1817,SASKATCHEWAN,Little Pine,Little Pine Public Water System,Boil water advisory,Active,2018-11-14,2019-11-14,NaT,NaT,Complete,501 to 1000 people,Upgrades and repairs to system; operational improvements,-107.2375,53.00416,True
1760,SASKATCHEWAN,Poundmaker,Poundmaker Public Water System,Boil water advisory,Lifted,2009-08-19,2010-08-19,2018-03-20,NaT,Complete,0 to 100 people,Improved in-house water storage,-108.97431,52.89611,True
1761,SASKATCHEWAN,Poundmaker,TLE Community Public Water System,Boil water advisory,Lifted,2006-12-15,2007-12-15,2017-04-21,NaT,Complete,0 to 100 people,Improved operation and monitoring,-108.97431,52.89611,True
1763,SASKATCHEWAN,Sweetgrass,Sweetgrass Public Water System,Boil water advisory,Lifted,2002-01-11,2003-01-11,2017-01-26,NaT,Complete,0 to 100 people,Improved distribution system disinfection,-108.71593,52.76546,True
1516,SASKATCHEWAN,Sweetgrass,Sweet Grass No. 113/ Sweetgrass Public Water System,Boil water advisory,Lifted,2023-09-07,2024-09-07,2025-05-29,NaT,Complete,501 to 1000 people,Water treatment plant upgrade,-108.71593,52.76546,True
1754,SASKATCHEWAN,Cumberland House Cree Nation,Pemmican Portage Public Water System,Boil water advisory,Lifted,2015-03-18,2016-03-18,2016-04-20,NaT,Complete,501 to 1000 people,Water treatment plant repairs,-102.28493,53.94193,True
1755,SASKATCHEWAN,Cumberland House Cree Nation,Cumberland No. 20 Reserve Centre,Boil water advisory,Lifted,2015-03-18,2016-03-18,2016-08-02,NaT,Complete,0 to 100 people,Water treatment plant repairs,-102.28493,53.94193,True
1788,SASKATCHEWAN,Fond du Lac,Fond du Lac Denesuline Public Water System,Boil water advisory,Lifted,2017-07-16,2018-07-16,2018-10-19,NaT,Complete,1001 or more people,Upgrades to treatment system,-107.88886,59.12322,True
1413,SASKATCHEWAN,Montreal Lake,Little Red River Public Water System,Do not consume advisory,Lifted,2021-05-28,2022-05-28,2023-01-30,NaT,Complete,501 to 1000 people,Repairs and operational improvements; plant upgrade in longer-term,-106.05277,53.53056,True
1759,SASKATCHEWAN,Peter Ballantyne Cree Nation,Pelican Narrows Semi-Public Water System,Boil water advisory,Lifted,2015-08-25,2016-08-25,2017-11-07,NaT,Complete,Unknown,Improved operation and maintenance,-102.93417,55.1724,True
1226,SASKATCHEWAN,Peter Ballantyne Cree Nation,Chief Joseph Custer #201 (Opawakoscikan Reserve #201),Boil water advisory,Lifted,2019-08-20,2020-08-20,2021-03-22,NaT,Complete,0 to 100 people,Distribution system upgrades,-102.887,55.168,True
1762,SASKATCHEWAN,Red Earth,Red Earth Cree Nation Public Water System,Boil water advisory,Lifted,2016-06-24,2017-06-24,2018-03-02,NaT,Complete,1001 or more people,Repairs and upgrades to treatment system,-102.86114,53.49095,True
1692,SASKATCHEWAN,Black Lake,Black Lake Public Water System,Boil water advisory,Lifted,2013-04-19,2014-04-19,2021-01-23,NaT,Complete,1001 or more people,Upgrades to treatment plant,-105.60264,59.13025,True
1753,SASKATCHEWAN,Cowessess,Marieval (lower subdivision) Public Water System,Boil water advisory,Lifted,2017-02-15,2018-02-15,2018-03-22,NaT,Complete,101 to 500 people,Water treatment plant repairs,-102.66013,50.51636,True
1756,SASKATCHEWAN,Kahkewistahaw,Kahkewistahaw Public Water System,Boil water advisory,Lifted,2015-06-03,2016-06-03,2017-10-31,NaT,Complete,101 to 500 people,Water treatment plant repairs,-102.53144,50.49124,True
1402,SASKATCHEWAN,Zagime Anishinabek,Zagime Public Water System,Do not consume advisory,Lifted,2021-02-24,2022-02-24,2022-07-14,NaT,Complete,201 to 500 people,Installation of a temporary treatment system and longer-term upgrades to the water treatment plant,-102.78526,50.56298,True
1698,SASKATCHEWAN,White Bear,White Bear Public Water System,Boil water advisory,Lifted,2011-09-20,2012-09-20,2021-06-15,NaT,Complete,501 to 1000 people,New water treatment plant,-102.27037,49.75176,True
1757,SASKATCHEWAN,Nekaneet,Nekaneet Public Water System,Boil water advisory,Lifted,2013-08-26,2014-08-26,2016-04-06,NaT,Complete,101 to 500 people,Effective monitoring and sampling,-109.19816,49.67516,True
1758,SASKATCHEWAN,Nekaneet,Upper Camp Public Water System,Boil water advisory,Lifted,2013-08-26,2014-08-26,2016-11-30,NaT,Complete,0 to 100 people,Commissioning of new treatment plant,-109.19816,49.67516,True
1801,SASKATCHEWAN,Nekaneet,Upper Camp Public Water System,Boil water advisory,Lifted,2017-10-26,2018-10-26,2019-03-04,NaT,Complete,0 to 100 people,Upgrades to treatment system,-109.198160739,49.675163715,True
1389,SASKATCHEWAN,Okanese,Okanese Public Water System,Boil water advisory,Active,2020-08-28,2021-08-28,NaT,NaT,Complete,201 to 500 people,New water treatment plant,-103.35438,50.93548,True
1696,SASKATCHEWAN,Peepeekisis Cree Nation No.81,Poitras Well,Boil water advisory,Active,2013-04-10,2014-04-10,NaT,2018-07-20,Complete,0 to 100 people,Repairs to system; upgrades to system in longer-term,-103.33924,50.86519,True
1695,SASKATCHEWAN,Peepeekisis Cree Nation No.81,Peepeekis Main Public Water System,Boil water advisory,Active,2015-02-05,2016-02-05,NaT,2018-07-20,Complete,501 to 1000 people,Repairs to system; upgrades to system in longer-term,-103.33924,50.86519,True
1810,SASKATCHEWAN,Standing Buffalo,Standing Buffalo Public Water System,Boil water advisory,Lifted,2018-05-09,2019-05-09,2019-07-10,NaT,Complete,101 to 500 people,Upgrades and repairs to system,-103.9705198,50.8235608,True
1697,SASKATCHEWAN,Star Blanket Cree Nation,Star Blanket Public Water System,Boil water advisory,Lifted,2007-01-10,2008-01-10,2024-06-28,NaT,Complete,101 to 500 people,New water treatment plant,-103.30419,50.96244,True
1563,SASKATCHEWAN,Ministikwan Lake Cree Nation,Ministikwan No. 161 Public Water System / Ministikwan No. 161A - Mudie Lake,Boil water advisory,Active,2024-12-17,2025-12-17,NaT,NaT,Construction,1001 or more people,Complete repairs to treatment system and optimize plant operation,-109.669671882733,54.0500156264098,True
1365,SASKATCHEWAN,Ministikwan Lake Cree Nation,Ministikwan Lake Public Water System,Boil water advisory,Lifted,2020-03-09,2021-03-09,2022-07-11,NaT,Complete,501 to 1000 people,Plant upgrades and distribution system repairs,-109.63656,53.99734,True
1691,SASKATCHEWAN,Big Island Lake Cree Nation,Big Island Lake Public Water System,Boil water advisory,Lifted,2013-08-20,2014-08-20,2018-06-25,NaT,Complete,501 to 1000 people,Repairs to treatment system; Improved operation and maintenance,-109.62092,54.41121,True
1506,SASKATCHEWAN,English River First Nation,La Plonge No.192 Public Water System,Boil water advisory,Lifted,2023-05-14,2024-05-14,2024-11-07,2024-11-07,Complete,101 to 500 people,Upgrades to the water treatment system,-107.59366,55.23812,True
1765,ALBERTA,Kapawe'no First Nation,Narrow's Semi-Public Water System,Boil water advisory,Lifted,2009-09-29,2010-09-29,2018-04-16,NaT,Complete,Unknown,Monitoring and reporting improvements,-116.15486,55.54863,True
1700,ALBERTA,Whitefish Lake,Whitefish River Public Water System,Boil water advisory,Lifted,2011-05-24,2012-05-24,2018-07-03,NaT,Complete,101 to 500 people,New water treatment plant,-115.64807,55.9189,True
1764,ALBERTA,Frog Lake,Frog Lake Head Start Building Semi-Public Water Supply,Boil water advisory,Lifted,2016-02-25,2017-02-25,2017-11-16,NaT,Complete,0 to 100 people,Connection to community water system,-110.41667,53.83167,True
1699,ALBERTA,Kehewin Cree Nation,Kehewin Public Water System,Boil water advisory,Lifted,2011-04-23,2012-04-23,2020-09-10,NaT,Complete,1001 or more people,New water treatment plant,-110.85709,54.11609,True
1705,BRITISH COLUMBIA,Semiahmoo,Semiahmoo Community Water System,Boil water advisory,Lifted,2005-10-13,2006-10-13,2021-03-31,NaT,Complete,0 to 50 people,New connection to City of Surrey and repairs to distribution system,-122.77774,49.01453,True
1772,BRITISH COLUMBIA,T'it'q'et,Seton Lake Cabins Community Water System,Boil water advisory,Lifted,2007-07-24,2008-07-24,2017-08-17,NaT,Complete,0 to 50 people,Upgrades and repairs to system,-121.94215,50.67821,True
1774,BRITISH COLUMBIA,Tsal'alh,Spider Creek Community Water System,Boil water advisory,Lifted,2016-11-30,2017-11-30,2018-02-05,NaT,Complete,0 to 50 people,Upgrades to treatment system,-122.27861,50.70583,True
1768,BRITISH COLUMBIA,Lower Similkameen,Blind Creek Community Water System,Boil water advisory,Lifted,2016-05-07,2017-05-07,2017-05-08,NaT,Complete,0 to 50 people,Maintenance of system,-119.7238,49.05143,True
1770,BRITISH COLUMBIA,Shuswap Band,Stoddart Creek Community Water System,Boil water advisory,Lifted,2014-05-12,2015-05-12,2016-06-30,NaT,Complete,0 to 50 people,Water system improvements,-116.00726,50.51586,True
1706,BRITISH COLUMBIA,Stellat'en First Nation,Stellaquo Community Water System,Do not consume advisory,Lifted,2012-03-13,2013-03-13,2019-04-01,NaT,Complete,101 to 200 people,Upgrade water treatment process,-124.91111,54.0638,True
1707,BRITISH COLUMBIA,Tl'azt'en Nation,Dzitl'ainli (Middle River Community Water System),Boil water advisory,Lifted,2005-01-07,2006-01-07,2018-11-16,NaT,Complete,0 to 50 people,New water treatment plant,-124.72357,54.65587,True
1704,BRITISH COLUMBIA,Cowichan,Dougans Lake Community Water System,Boil water advisory,Lifted,2011-06-29,2012-06-29,2018-09-12,NaT,Complete,0 to 50 people,Connection to regional distribution system,-123.61667,48.73333,True
1701,BRITISH COLUMBIA,Adams Lake,Doug Arnouse Community Water System,Boil water advisory,Lifted,2009-04-23,2010-04-23,2018-09-13,NaT,Complete,0 to 50 people,Water system improvements,-119.66944,50.95417,True
1703,BRITISH COLUMBIA,Bonaparte First Nation,Morgan/Upper Hat Creek,Boil water advisory,Lifted,2006-02-09,2007-02-09,2020-08-28,NaT,Complete,0 to 50 people,New water treatment plant,-121.38529,50.84215,True
1771,BRITISH COLUMBIA,Siska,Siska Flat 5 and 5A Community Water System,Do not consume advisory,Lifted,2012-05-23,2013-05-23,2017-04-24,NaT,Complete,0 to 50 people,New well connected to system,-121.57155,50.13635,True
1766,BRITISH COLUMBIA,Tŝideldel First Nation,Alexis Creek Community Water System,Boil water advisory,Lifted,2003-10-15,2004-10-15,2016-10-21,NaT,Complete,201 to 500 people,New water treatment plant,-123.95209,52.13858,True
1702,BRITISH COLUMBIA,Tŝideldel First Nation,Michel Gardens Community Water System,Boil water advisory,Lifted,1999-04-01,2000-04-01,2018-10-12,NaT,Complete,0 to 50 people,Water system improvements,-123.28333,52.08333,True
1767,BRITISH COLUMBIA,Esk'etemc,Esket Community Water System,Boil water advisory,Lifted,2004-10-21,2005-10-21,2016-03-22,NaT,Complete,501 to 1000 people,New water treatment plant,-122.23645,51.78866,True
1710,BRITISH COLUMBIA,Xeni Gwet'in First Nations Government,Lohbiee Community Water System,Boil water advisory,Lifted,2001-05-01,2002-05-01,2018-12-11,NaT,Complete,201 to 500 people,New water treatment system,-124.09563,51.41537,True
1709,BRITISH COLUMBIA,Xeni Gwet'in First Nations Government,Carrot Creek/James Lulua Community Water System,Boil water advisory,Lifted,2001-10-18,2002-10-18,2021-03-09,NaT,Complete,0 to 50 people,Installation of point-of-use systems and implementation of monitoring,-124.11427,51.41252,True
1773,BRITISH COLUMBIA,Tl’esqox,Toosey Community Water System,Boil water advisory,Lifted,2004-11-25,2005-11-25,2017-05-08,NaT,Complete,101 to 200 people,New water treatment plant,-122.50232,51.93182,True
1775,BRITISH COLUMBIA,Williams Lake First Nation,Sugar Cane Williams Lake Community Water System,Boil water advisory,Lifted,2006-07-31,2007-07-31,2015-11-30,NaT,Complete,201 to 500 people,New water treatment plant,-121.99391,52.1083,True
1769,BRITISH COLUMBIA,Nazko First Nation,Nazko Community Water System,Do not consume advisory,Lifted,1999-01-01,2000-01-01,2015-11-20,NaT,Complete,0 to 50 people,New water treatment plant,-123.58066,52.94126,True
1708,BRITISH COLUMBIA,Wet'suwet'en First Nation,Palling Community Water System,Do not consume advisory,Lifted,2012-03-13,2013-03-13,2021-03-18,NaT,Complete,51 to 100 people,Upgrades to treatment process and feasibility study to determine long-term solution,-125.88823,54.33072,True
,,,,,Active,NaT,NaT,NaT,NaT,,,,,,False
